Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Otus lempiji,Sunda Scops Owl,0.1165
6.0,9.0,Cacomantis variolosus,Brush Cuckoo,0.1083
9.0,12.0,Gallus gallus,Red Junglefowl,0.1249
9.0,12.0,Otus lempiji,Sunda Scops Owl,0.1017
15.0,18.0,Otus lempiji,Sunda Scops Owl,0.1391
21.0,24.0,Otus lempiji,Sunda Scops Owl,0.1224
24.0,27.0,Otus lempiji,Sunda Scops Owl,0.1220
24.0,27.0,Strix seloputo,Spotted Wood-Owl,0.1116
30.0,33.0,Eudynamys scolopaceus,Asian Koel,0.1468
33.0,36.0,Otus lempiji,Sunda Scops Owl,0.1802
36.0,39.0,Otus lempiji,Sunda Scops Owl,0.1354
45.0,48.0,Megascops asio,Eastern Screech-Owl,0.1145
51.0,54.0,Gracula religiosa,Common Hill Myna,0.2011
57.0,60.0,Gracula religiosa,Common Hill Myna,0.3100
57.0,60.0,Oriolus chinensis,Black-naped Oriole,0.1539
60.0,63.0,Pycnonotus finlaysoni,Stripe-throated Bulbul,0.1520
60.0,63.0,Otus lempiji,Sunda Scops Owl,0.1120
63.0,66.0,Otus lempiji,Sunda Scops Owl,0.1072
66.0,69.0,Cisticola juncidis,Zitting Cisticola,0.1686
69.0,72.0,Pernis ptilorhynchus,Crested Honey-buzzard,0.1370
69.0,72.0,Strix seloputo,Spotted Wood-Owl,0.1116
72.0,75.0,Pernis ptilorhynchus,Crested Honey-buzzard,0.1082
75.0,78.0,Otus lempiji,Sunda Scops Owl,0.1186
78.0,81.0,Glaucidium cuculoides,Asian Barred Owlet,0.1589
84.0,87.0,Otus lempiji,Sunda Scops Owl,0.1532
84.0,87.0,Strix seloputo,Spotted Wood-Owl,0.1304
93.0,96.0,Otus lempiji,Sunda Scops Owl,0.1592
99.0,102.0,Otus lempiji,Sunda Scops Owl,0.1530
99.0,102.0,Strix seloputo,Spotted Wood-Owl,0.1014
105.0,108.0,Otus lempiji,Sunda Scops Owl,0.1481
108.0,111.0,Otus lempiji,Sunda Scops Owl,0.1513
108.0,111.0,Pernis ptilorhynchus,Crested Honey-buzzard,0.1217
114.0,117.0,Otus lempiji,Sunda Scops Owl,0.1217
117.0,120.0,Pycnonotus finlaysoni,Stripe-throated Bulbul,0.1876
117.0,120.0,Otus lempiji,Sunda Scops Owl,0.1057
120.0,123.0,Strix seloputo,Spotted Wood-Owl,0.1689
120.0,123.0,Otus lempiji,Sunda Scops Owl,0.1189
123.0,126.0,Harpactes oreskios,Orange-breasted Trogon,0.1370
126.0,129.0,Otus lempiji,Sunda Scops Owl,0.1376
129.0,132.0,Otus lempiji,Sunda Scops Owl,0.1434
132.0,135.0,Otus lempiji,Sunda Scops Owl,0.1343
135.0,138.0,Cacomantis variolosus,Brush Cuckoo,0.1604
144.0,147.0,Pernis ptilorhynchus,Crested Honey-buzzard,0.1287
144.0,147.0,Strix seloputo,Spotted Wood-Owl,0.1192
144.0,147.0,Otus lempiji,Sunda Scops Owl,0.1152
147.0,150.0,Rallina fasciata,Red-legged Crake,0.1026
156.0,159.0,Otus lempiji,Sunda Scops Owl,0.1177
156.0,159.0,Pernis ptilorhynchus,Crested Honey-buzzard,0.1131
159.0,162.0,Pycnonotus finlaysoni,Stripe-throated Bulbul,0.1331
162.0,165.0,Otus lempiji,Sunda Scops Owl,0.2177
162.0,165.0,Strix seloputo,Spotted Wood-Owl,0.1408
165.0,168.0,Otus lempiji,Sunda Scops Owl,0.1162
168.0,171.0,Otus lempiji,Sunda Scops Owl,0.1324
171.0,174.0,Otus lempiji,Sunda Scops Owl,0.2292
171.0,174.0,Strix seloputo,Spotted Wood-Owl,0.1053
171.0,174.0,Phodilus badius,Oriental Bay-Owl,0.1048
174.0,177.0,Phodilus badius,Oriental Bay-Owl,0.1065
177.0,180.0,Otus lempiji,Sunda Scops Owl,0.1166
180.0,183.0,Pernis ptilorhynchus,Crested Honey-buzzard,0.1051
183.0,186.0,Otus lempiji,Sunda Scops Owl,0.1401
183.0,186.0,Glaucidium cuculoides,Asian Barred Owlet,0.1162
183.0,186.0,Phodilus badius,Oriental Bay-Owl,0.1153
189.0,192.0,Pycnonotus finlaysoni,Stripe-throated Bulbul,0.1721
195.0,198.0,Strix seloputo,Spotted Wood-Owl,0.1098
198.0,201.0,Otus lempiji,Sunda Scops Owl,0.1485
210.0,213.0,Otus lempiji,Sunda Scops Owl,0.1001
216.0,219.0,Strix seloputo,Spotted Wood-Owl,0.1052
219.0,222.0,Pernis ptilorhynchus,Crested Honey-buzzard,0.1168
219.0,222.0,Otus lempiji,Sunda Scops Owl,0.1048
222.0,225.0,Glaucidium cuculoides,Asian Barred Owlet,0.2320
222.0,225.0,Phodilus badius,Oriental Bay-Owl,0.1488
225.0,228.0,Otus lempiji,Sunda Scops Owl,0.2038
225.0,228.0,Strix seloputo,Spotted Wood-Owl,0.1198
225.0,228.0,Pycnonotus finlaysoni,Stripe-throated Bulbul,0.1143
228.0,231.0,Otus lempiji,Sunda Scops Owl,0.1555
228.0,231.0,Strix seloputo,Spotted Wood-Owl,0.1216
228.0,231.0,Pernis ptilorhynchus,Crested Honey-buzzard,0.1089
231.0,234.0,Otus lempiji,Sunda Scops Owl,0.1298
240.0,243.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1287
240.0,243.0,Rallina fasciata,Red-legged Crake,0.1146
243.0,246.0,Oriolus xanthornus,Black-hooded Oriole,0.1431
243.0,246.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1210
249.0,252.0,Otus lempiji,Sunda Scops Owl,0.1010
252.0,255.0,Cacomantis variolosus,Brush Cuckoo,0.3179
255.0,258.0,Otus lempiji,Sunda Scops Owl,0.1271
258.0,261.0,Strix seloputo,Spotted Wood-Owl,0.1167
261.0,264.0,Otus lempiji,Sunda Scops Owl,0.1417
267.0,270.0,Otus lempiji,Sunda Scops Owl,0.1550
267.0,270.0,Strix seloputo,Spotted Wood-Owl,0.1020
273.0,276.0,Otus lempiji,Sunda Scops Owl,0.1335
276.0,279.0,Otus lempiji,Sunda Scops Owl,0.1322
276.0,279.0,Pycnonotus finlaysoni,Stripe-throated Bulbul,0.1081
279.0,282.0,Otus lempiji,Sunda Scops Owl,0.1307
285.0,288.0,Otus lempiji,Sunda Scops Owl,0.1826
285.0,288.0,Pycnonotus finlaysoni,Stripe-throated Bulbul,0.1383
285.0,288.0,Phodilus badius,Oriental Bay-Owl,0.1010
288.0,291.0,Otus lempiji,Sunda Scops Owl,0.1465
291.0,294.0,Pycnonotus finlaysoni,Stripe-throated Bulbul,0.1442
291.0,294.0,Otus lempiji,Sunda Scops Owl,0.1200
294.0,297.0,Pernis ptilorhynchus,Crested Honey-buzzard,0.1662
294.0,297.0,Otus lempiji,Sunda Scops Owl,0.1261
294.0,297.0,Strix seloputo,Spotted Wood-Owl,0.1009
300.0,303.0,Otus lempiji,Sunda Scops Owl,0.1151
309.0,312.0,Pernis ptilorhynchus,Crested Honey-buzzard,0.1239
318.0,321.0,Otus lempiji,Sunda Scops Owl,0.1672
321.0,324.0,Otus scops,Eurasian Scops-Owl,0.1259
324.0,327.0,Pernis ptilorhynchus,Crested Honey-buzzard,0.1101
327.0,330.0,Pernis ptilorhynchus,Crested Honey-buzzard,0.1050
330.0,333.0,Psittinus cyanurus,Blue-rumped Parrot,0.4093
330.0,333.0,Aplonis panayensis,Asian Glossy Starling,0.2780
330.0,333.0,Dicrurus hottentottus,Hair-crested Drongo,0.2109
330.0,333.0,Pernis ptilorhynchus,Crested Honey-buzzard,0.1529
333.0,336.0,Otus lempiji,Sunda Scops Owl,0.1770
339.0,342.0,Otus lempiji,Sunda Scops Owl,0.1104
348.0,351.0,Otus lempiji,Sunda Scops Owl,0.1337
357.0,360.0,Spilornis cheela,Crested Serpent-Eagle,0.3009
363.0,366.0,Strix seloputo,Spotted Wood-Owl,0.1149
372.0,375.0,Otus lempiji,Sunda Scops Owl,0.1244
375.0,378.0,Strix seloputo,Spotted Wood-Owl,0.1009
375.0,378.0,Otus lempiji,Sunda Scops Owl,0.1005
387.0,390.0,Otus lempiji,Sunda Scops Owl,0.1233
399.0,402.0,Otus lempiji,Sunda Scops Owl,0.1666
399.0,402.0,Strix seloputo,Spotted Wood-Owl,0.1208
402.0,405.0,Otus lempiji,Sunda Scops Owl,0.1275
405.0,408.0,Emberiza pusilla,Little Bunting,0.1114
408.0,411.0,Otus lempiji,Sunda Scops Owl,0.1519
414.0,417.0,Otus lempiji,Sunda Scops Owl,0.1034
420.0,423.0,Otus lempiji,Sunda Scops Owl,0.1285
423.0,426.0,Otus lempiji,Sunda Scops Owl,0.1618
423.0,426.0,Strix seloputo,Spotted Wood-Owl,0.1336
429.0,432.0,Rallina fasciata,Red-legged Crake,0.1304
435.0,438.0,Pycnonotus finlaysoni,Stripe-throated Bulbul,0.1269
435.0,438.0,Otus lempiji,Sunda Scops Owl,0.1126
438.0,441.0,Otus lempiji,Sunda Scops Owl,0.2086
438.0,441.0,Pycnonotus finlaysoni,Stripe-throated Bulbul,0.1128
444.0,447.0,Otus lempiji,Sunda Scops Owl,0.1406
456.0,459.0,Otus lempiji,Sunda Scops Owl,0.1723
459.0,462.0,Strix seloputo,Spotted Wood-Owl,0.1127
462.0,465.0,Otus lempiji,Sunda Scops Owl,0.1427
462.0,465.0,Strix seloputo,Spotted Wood-Owl,0.1196
465.0,468.0,Otus lempiji,Sunda Scops Owl,0.1008
471.0,474.0,Strix seloputo,Spotted Wood-Owl,0.1232
471.0,474.0,Otus lempiji,Sunda Scops Owl,0.1076
474.0,477.0,Otus lempiji,Sunda Scops Owl,0.1835
477.0,480.0,Otus lempiji,Sunda Scops Owl,0.1151
480.0,483.0,Otus lempiji,Sunda Scops Owl,0.1077
483.0,486.0,Otus lempiji,Sunda Scops Owl,0.1201
