Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Eudynamys scolopaceus,Asian Koel,0.9854
0,3.0,Eudynamys scolopaceus,Asian Koel,0.8188
0,3.0,Oriolus chinensis,Black-naped Oriole,0.1488
3.0,6.0,Eudynamys scolopaceus,Asian Koel,0.9518
3.0,6.0,Eudynamys scolopaceus,Asian Koel,0.7818
6.0,9.0,Eudynamys scolopaceus,Asian Koel,0.9906
6.0,9.0,Eudynamys scolopaceus,Asian Koel,0.8303
9.0,12.0,Eudynamys scolopaceus,Asian Koel,0.9928
9.0,12.0,Eudynamys scolopaceus,Asian Koel,0.9642
12.0,15.0,Eudynamys scolopaceus,Asian Koel,0.9667
12.0,15.0,Eudynamys scolopaceus,Asian Koel,0.8703
15.0,18.0,Eudynamys scolopaceus,Asian Koel,0.9623
15.0,18.0,Eudynamys scolopaceus,Asian Koel,0.8507
18.0,21.0,Eudynamys scolopaceus,Asian Koel,0.9909
18.0,21.0,Eudynamys scolopaceus,Asian Koel,0.9573
24.0,27.0,Eudynamys scolopaceus,Asian Koel,0.9872
24.0,27.0,Eudynamys scolopaceus,Asian Koel,0.8416
27.0,30.0,Gallus sonneratii,Gray Junglefowl,0.2556
27.0,30.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1533
30.0,33.0,Eudynamys scolopaceus,Asian Koel,0.9981
30.0,33.0,Eudynamys scolopaceus,Asian Koel,0.9867
33.0,36.0,Eudynamys scolopaceus,Asian Koel,0.9882
33.0,36.0,Eudynamys scolopaceus,Asian Koel,0.9447
