file,start_time,end_time,Gallus gallus_Red Junglefowl,Oriolus chinensis_Black-naped Oriole,Psittacula longicauda_Long-tailed Parakeet,Pycnonotus goiavier_Yellow-vented Bulbul,Streptopelia chinensis_Spotted Dove
C:\tmp\SBG1_20210901_070000.WAV,0.0,3.0,0,0,0,0,0
C:\tmp\SBG1_20210901_070000.WAV,3.0,6.0,0,0,0,0,0
C:\tmp\SBG1_20210901_070000.WAV,6.0,9.0,0,0,0,0,0
C:\tmp\SBG1_20210901_070000.WAV,9.0,12.0,1,0,0,0,0
C:\tmp\SBG1_20210901_070000.WAV,12.0,15.0,0,0,0,0,0
C:\tmp\SBG1_20210901_070000.WAV,15.0,18.0,0,0,0,0,0
C:\tmp\SBG1_20210901_070000.WAV,18.0,21.0,0,0,0,0,0
C:\tmp\SBG1_20210901_070000.WAV,21.0,24.0,0,0,0,0,0
C:\tmp\SBG1_20210901_070000.WAV,24.0,27.0,0,0,0,0,0
C:\tmp\SBG1_20210901_070000.WAV,27.0,30.0,0,0,0,0,0
C:\tmp\SBG1_20210901_070000.WAV,30.0,33.0,0,0,0,0,0
C:\tmp\SBG1_20210901_070000.WAV,33.0,36.0,1,0,0,0,0
C:\tmp\SBG1_20210901_070000.WAV,36.0,39.0,0,0,0,0,0
C:\tmp\SBG1_20210901_070000.WAV,39.0,42.0,0,0,0,0,0
C:\tmp\SBG1_20210901_070000.WAV,42.0,45.0,0,0,0,0,0
C:\tmp\SBG1_20210901_070000.WAV,45.0,48.0,1,0,0,0,0
C:\tmp\SBG1_20210901_070000.WAV,48.0,51.0,0,0,0,0,0
C:\tmp\SBG1_20210901_070000.WAV,51.0,54.0,1,0,0,0,0
C:\tmp\SBG1_20210901_070000.WAV,54.0,57.0,1,0,0,0,0
C:\tmp\SBG1_20210901_070000.WAV,57.0,60.0,0,0,0,0,0
C:\tmp\SBG1_20210901_070000.WAV,60.0,63.0,0,0,0,0,0
C:\tmp\SBG1_20210901_070000.WAV,63.0,66.0,0,0,0,0,0
C:\tmp\SBG1_20210901_070000.WAV,66.0,69.0,0,0,0,0,0
C:\tmp\SBG1_20210901_070000.WAV,69.0,72.0,0,0,0,0,0
C:\tmp\SBG1_20210901_070000.WAV,72.0,75.0,0,0,0,0,0
C:\tmp\SBG1_20210901_070000.WAV,75.0,78.0,0,0,0,0,0
C:\tmp\SBG1_20210901_070000.WAV,78.0,81.0,1,0,0,0,0
C:\tmp\SBG1_20210901_070000.WAV,81.0,84.0,0,0,0,0,0
C:\tmp\SBG1_20210901_070000.WAV,84.0,87.0,0,0,0,0,0
C:\tmp\SBG1_20210901_070000.WAV,87.0,90.0,0,0,0,0,0
C:\tmp\SBG1_20210901_070000.WAV,90.0,93.0,0,0,0,0,0
C:\tmp\SBG1_20210901_070000.WAV,93.0,96.0,0,0,0,0,0
C:\tmp\SBG1_20210901_070000.WAV,96.0,99.0,0,0,0,0,0
C:\tmp\SBG1_20210901_070000.WAV,99.0,102.0,0,0,0,0,0
C:\tmp\SBG1_20210901_070000.WAV,102.0,105.0,1,0,0,0,0
