,Start (s),End (s),Scientific name,Common name,Confidence
278,510.0,513.0,Cinnyris jugularis,Olive-backed Sunbird,0.8429
22,75.0,78.0,Scolopax rusticola,Eurasian Woodcock,0.8285
58,150.0,153.0,Spinus pinus,Pine Siskin,0.8229
8,45.0,48.0,Pycnonotus goiavier,Yellow-vented Bulbul,0.8202
41,129.0,132.0,Sayornis nigricans,Black Phoebe,0.8181
290,525.0,528.0,Aplonis panayensis,Asian Glossy Starling,0.7548
271,495.0,498.0,Anthreptes malacensis,Brown-throated Sunbird,0.7024
307,540.0,543.0,Trichoglossus haematodus,Coconut Lorikeet,0.6804
267,492.0,495.0,Anthreptes malacensis,Brown-throated Sunbird,0.6594
54,147.0,150.0,Psittacula alexandri,Red-breasted Parakeet,0.6436
326,567.0,570.0,Spinus pinus,Pine Siskin,0.62
70,174.0,177.0,Anthreptes malacensis,Brown-throated Sunbird,0.6118
264,489.0,492.0,Anthreptes malacensis,Brown-throated Sunbird,0.6079
222,420.0,423.0,Buceros rhinoceros,Rhinoceros Hornbill,0.6017
75,177.0,180.0,Anthreptes malacensis,Brown-throated Sunbird,0.5975
207,393.0,396.0,Cinnyris jugularis,Olive-backed Sunbird,0.577
51,144.0,147.0,Psittacula longicauda,Long-tailed Parakeet,0.5752
203,390.0,393.0,Psilopogon lineatus,Lineated Barbet,0.5705
59,156.0,159.0,Dendrocopos major,Great Spotted Woodpecker,0.5666
76,180.0,183.0,Anthreptes malacensis,Brown-throated Sunbird,0.5662
318,561.0,564.0,Anthreptes malacensis,Brown-throated Sunbird,0.5648
218,414.0,417.0,Phylloscopus borealis,Arctic Warbler,0.5538
146,285.0,288.0,Sayornis nigricans,Black Phoebe,0.4993
308,540.0,543.0,Trichoglossus chlorolepidotus,Scaly-breasted Lorikeet,0.4715
167,321.0,324.0,Anthreptes malacensis,Brown-throated Sunbird,0.4608
258,480.0,483.0,Phylloscopus borealis,Arctic Warbler,0.4253
64,171.0,174.0,Anthreptes malacensis,Brown-throated Sunbird,0.4218
295,531.0,534.0,Anthreptes malacensis,Brown-throated Sunbird,0.4207
217,411.0,414.0,Gallus gallus,Red Junglefowl,0.4045
209,396.0,399.0,Psilopogon lineatus,Lineated Barbet,0.3949
95,201.0,204.0,Anthreptes malacensis,Brown-throated Sunbird,0.3912
143,279.0,282.0,Human vocal,Human vocal,0.3801
71,174.0,177.0,Hedydipna collaris,Collared Sunbird,0.3737
309,540.0,543.0,Aplonis panayensis,Asian Glossy Starling,0.3729
72,174.0,177.0,Cinnyris jugularis,Olive-backed Sunbird,0.3712
53,144.0,147.0,Psittacula alexandri,Red-breasted Parakeet,0.3668
104,216.0,219.0,Cinnyris jugularis,Olive-backed Sunbird,0.362
