,Start (s),End (s),Scientific name,Common name,Confidence
19,30.0,33.0,Eudynamys scolopaceus,Asian Koel,0.9981
7,9.0,12.0,Eudynamys scolopaceus,Asian Koel,0.9928
13,18.0,21.0,Eudynamys scolopaceus,Asian Koel,0.9909
5,6.0,9.0,Eudynamys scolopaceus,Asian Koel,0.9906
21,33.0,36.0,Eudynamys scolopaceus,Asian Koel,0.9882
15,24.0,27.0,Eudynamys scolopaceus,Asian Koel,0.9872
0,0.0,3.0,Eudynamys scolopaceus,Asian Koel,0.9854
9,12.0,15.0,Eudynamys scolopaceus,Asian Koel,0.9667
11,15.0,18.0,Eudynamys scolopaceus,Asian Koel,0.9623
3,3.0,6.0,Eudynamys scolopaceus,Asian Koel,0.9518
17,27.0,30.0,Gallus sonneratii,Gray Junglefowl,0.2557
18,27.0,30.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1533
2,0.0,3.0,Oriolus chinensis,Black-naped Oriole,0.1488
